"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 09 20:56:06 IST 2023","Sun Jul 09 20:56:15 IST 2023","9159","Suite","Test","TestCases.Brevistay","TestCases.Brevistay","launchHomepage","Launch homepage",""
"passed","Sun Jul 09 20:56:20 IST 2023","Sun Jul 09 20:56:24 IST 2023","4441","Suite","Test","TestCases.Brevistay","TestCases.Brevistay","selectCity","Seach data with respective city",""
"passed","Sun Jul 09 20:56:28 IST 2023","Sun Jul 09 20:56:29 IST 2023","1140","Suite","Test","TestCases.Brevistay","TestCases.Brevistay","verifyingCoupleFriendlywithpah","Apply filter couple friendly with Pay at Hotel.",""
"passed","Sun Jul 09 20:56:36 IST 2023","Sun Jul 09 20:56:38 IST 2023","2286","Suite","Test","TestCases.BrevistayRatingsAndTags","TestCases.BrevistayRatingsAndTags","verifyingPremiumTag","Verify Premium Tag",""
"passed","Sun Jul 09 20:56:38 IST 2023","Sun Jul 09 20:56:40 IST 2023","2176","Suite","Test","TestCases.BrevistayRatingsAndTags","TestCases.BrevistayRatingsAndTags","verifyingLuxuryTag","Verify Luxury Tag",""
"passed","Sun Jul 09 20:56:24 IST 2023","Sun Jul 09 20:56:27 IST 2023","2404","Suite","Test","TestCases.Brevistay","TestCases.Brevistay","verifyingAreaFilter","Verify after filter applied",""
"passed","Sun Jul 09 20:56:27 IST 2023","Sun Jul 09 20:56:28 IST 2023","1146","Suite","Test","TestCases.Brevistay","TestCases.Brevistay","verifyingCoupleFriendly","Apply filter couple friendly.",""
"passed","Sun Jul 09 20:56:15 IST 2023","Sun Jul 09 20:56:20 IST 2023","4790","Suite","Test","TestCases.Brevistay","TestCases.Brevistay","login","Login Check",""
"skipped","Sun Jul 09 20:49:58 IST 2023","Sun Jul 09 20:49:58 IST 2023","0","Surefire suite","Surefire test","TestCases.TestGooglePage","TestCases.TestGooglePage","testSearchData","testSearchData",""
"broken","Sun Jul 09 20:49:58 IST 2023","Sun Jul 09 20:49:58 IST 2023","2","Surefire suite","Surefire test","TestCases.TestGooglePage","TestCases.TestGooglePage","browser","browser",""
"passed","Sun Jul 09 20:56:29 IST 2023","Sun Jul 09 20:56:36 IST 2023","6994","Suite","Test","TestCases.BrevistayRatingsAndTags","TestCases.BrevistayRatingsAndTags","verifyRatingFourAndHalf","Verify Ratings with four and half",""
